tickers,name,sector,market,8월1일psr,8월1일pbr2,8월1일_s_return,8월1일_l_return,순매수강도(20일),s_growth,l_growth,roe,deb,3주후 수익률,수익률상위권2,cluster8월1일_6차와같은방식
a323410,카카오뱅크,은행,kospi,10.92522267,2.478024948,0.3148558758314856,0.0551601423487544,0.16043194800361205,0.646183206,0.377893126,4.68,591.43,0.232848233,1,0
a065650,메디프론,IT하드웨어,kosdaq,1.340689507,1.953983006,0.0,0.040290088638195,-0.03626526514841432,-0.081135903,0.375676498,-32.77,79.32,-0.314391928,0,0
a028670,팬오션,운송,kospi,0.408402014,0.586132075,-0.0745283018867924,0.0326315789473684,-0.076878786627309,0.390849418,0.375337405,16.74,68.03,0.028301887,1,1
a419120,산돌,소프트웨어,kosdaq,4.010727365,1.300594796,-0.2272727272727272,0.0181818181818181,0.08625575744049838,0.533333333,0.367188643,25.32,19.65,-0.115241636,0,0
a257720,실리콘투,"소매, 유통",kosdaq,2.777492736,4.746341146,1.3487654320987654,-0.0415617128463476,0.0234340889700072,0.261832061,0.365660408,12.21,34.06,-0.009114583,0,0
a350520,이지스레지던스리츠,은행,kospi,1.332427482,2.413503997,-0.0039946737683089,0.0121786197564276,-0.05577937795927411,7.652173913,0.364969383,3.4,47.18,-0.00795756,0,1
a241840,에이스토리,"미디어, 교육",kosdaq,2.003797903,2.390190931,-0.2776978417266187,0.0100603621730382,-0.09580949868528678,0.217317487,0.364866002,7.69,73.12,-0.101431981,0,1
a246720,아스타,건강관리,kosdaq,34.76266129,15.84356436,-0.1038306451612903,0.0218390804597701,-0.021950434324121335,0.269230769,0.364133463,-34.71,51.11,-0.0220022,0,0
a137950,제이씨케미칼,에너지,kosdaq,0.35336066,1.213333333,0.1077762619372442,0.0278481012658227,0.013086800548766184,0.302367015,0.36228603,14.63,115.24,-0.066666667,0,0
a340570,티앤엘,건강관리,kosdaq,4.890745098,3.740952381,0.0123711340206185,0.0082135523613963,-0.04677906229644941,0.134909597,0.357763677,21.53,10.3,-0.005065856,0,1
a215000,골프존,"호텔, 레저",kosdaq,1.006098923,1.672357724,-0.1168599464763603,0.0143442622950819,-0.13358232812633125,0.402452873,0.357208808,35.0,57.98,-0.105691057,0,1
a146320,비씨엔씨,반도체,kosdaq,2.836486355,3.064197531,0.1307311028500619,0.0585846867749419,-0.03236808495761864,0.276827372,0.356383255,19.46,51.25,-0.098765432,0,0
a288980,모아데이타,소프트웨어,kosdaq,4.016774588,2.305626072,-0.2692847124824684,0.0255905511811023,0.06512866493349005,0.107142857,0.356168004,6.36,50.53,-0.106346484,0,0
a083310,엘오티베큠,반도체,kosdaq,1.208911914,1.976593137,0.6344916344916345,-0.0097465886939571,0.010695913747631458,0.441448382,0.355640755,12.27,53.02,0.556372549,1,0
a002380,KCC,건설,kospi,0.282014415,0.314032342,-0.0444444444444444,0.0141509433962264,-0.016242829647004648,0.153177075,0.355596635,0.67,136.32,0.121544079,1,1
a302440,SK바이오사이언스,건강관리,kospi,13.01310524,3.407677852,0.0901408450704225,0.001293661060802,0.09521747338856576,-0.508396125,0.354200888,7.3,22.98,0.038926174,1,0
a332290,누보,화학,kosdaq,1.130656176,2.879240246,0.1418764302059496,-0.002,0.04902402614816089,0.194762684,0.352592416,-18.64,189.99,0.024640657,1,0
a096040,이트론,소프트웨어,kosdaq,2.672647779,2.4,-0.153125,0.0,거래중지,0.79,0.351569371,-43.06,141.23,0.0,0,999
a031980,피에스케이홀딩스,반도체,kosdaq,9.640878534,2.346627907,2.580858085808581,0.1729729729729729,-0.022644535988900656,-0.107843137,0.351356042,15.27,16.39,0.513953488,1,0
a038460,바이오스마트,IT하드웨어,kosdaq,0.161204866,0.616296296,-0.0516717325227963,-0.011093502377179,-0.09149788564109242,1.070824524,0.350690263,0.74,156.96,-0.037037037,0,1
a011070,LG이노텍,IT하드웨어,kospi,0.324390651,1.492178388,0.0170454545454545,0.0170454545454545,-0.1273965251857529,0.310713521,0.349241073,25.85,129.59,-0.07890223,0,1
a093370,후성,화학,kospi,2.064435161,3.439937008,-0.0304789550072568,0.0388802488335925,-0.004261496506155033,0.601363756,0.348685333,31.6,124.84,0.051968504,1,0
a192650,드림텍,IT하드웨어,kospi,0.659952879,2.183302374,0.4006276150627615,0.0395962732919254,0.005126566299692338,0.111237415,0.347225857,17.24,64.53,0.381836945,1,0
a277880,티에스아이,기계,kosdaq,1.841720865,5.632323232,0.0187265917602996,0.0429447852760736,-0.01577650590082268,1.210995542,0.346142488,7.34,416.36,-0.084175084,0,0
a278280,천보,IT가전,kosdaq,5.764670112,5.48338118,-0.0346232179226069,0.0417582417582417,0.04623288154527479,0.210972018,0.344586332,11.9,107.34,0.007974482,1,0
a307180,아이엘사이언스,디스플레이,kosdaq,2.414359372,7.00059761,0.1900510204081632,0.0724137931034482,-0.045982050628472215,0.012345679,0.343248471,16.37,212.96,0.239043825,1,0
a069330,유아이디,디스플레이,kosdaq,0.338315609,0.968856947,-0.1524459613196814,0.0136054421768707,-0.044157151756515654,-0.151967436,0.343033268,19.32,62.36,0.019849418,1,1
a039570,HDC랩스,건설,kospi,0.322185387,0.664750305,-0.0889423076923077,-0.0013175230566534,-0.09550384867995143,1.223962127,0.342495555,4.72,46.85,-0.076735688,0,1
a377030,맥스트,소프트웨어,kosdaq,59.1175608,4.490098361,-0.2362685265911072,0.0305882352941176,0.06210771037123032,0.208333333,0.34195798,-0.31443471,76.14,-0.042622951,0,0
a143160,아이디스,IT하드웨어,kosdaq,0.762733797,1.011052632,-0.1574561403508771,-0.0243778567800914,-0.05521788741860663,0.322390985,0.341088997,6.36,28.85,0.011052632,1,0
a008260,NI스틸,철강,kospi,0.53514569,1.009214092,-0.0234948604992657,0.0505529225908372,-0.05135252737819993,0.43190975,0.338514479,29.57,111.19,-0.098915989,0,0
a140860,파크시스템스,IT하드웨어,kosdaq,11.2419526,11.61182432,0.3408939292861908,0.0496083550913838,0.025499791424405505,0.459554513,0.33779223,26.7,39.83,0.131756757,1,0
a236810,엔비티,"미디어, 교육",kosdaq,1.321008197,3.742222222,0.5738317757009346,0.1678224687933426,0.04848143315923836,0.313106796,0.337712983,-1.2,124.08,0.169444444,1,0
a256840,한국비엔씨,건강관리,kosdaq,5.691480152,1.274239631,-0.0968152866242038,0.0128571428571428,0.05920440338790435,0.678571429,0.336972169,-38.11,22.32,0.089093702,1,0
a092870,엑시콘,반도체,kosdaq,1.810511955,1.097761082,0.5804776739356179,0.0126413838988689,0.033190410354467514,0.377643505,0.336525221,10.97,17.15,0.143501127,1,0
a252990,샘씨엔에스,반도체,kosdaq,6.006448623,2.611111111,0.2269938650306748,0.001669449081803,-0.02324834085160336,0.052521008,0.336204132,13.82,78.88,-0.074074074,0,1
a089970,에이피티씨,반도체,kosdaq,2.937368496,3.130728863,0.523306948109059,0.037125748502994,0.0987261302229585,-0.206064009,0.335974715,24.03,32.84,0.009912536,1,0
a170920,엘티씨,디스플레이,kosdaq,0.394794096,0.93892233,-0.1471343028229255,0.0091093117408906,0.02086523459205819,1.802043423,0.335546451,2.64,191.02,-0.032038835,0,0
a302430,이노메트리,IT가전,kosdaq,2.054971606,2.769673591,0.0667565745111261,-0.0246609124537607,-0.03135545355144484,0.627956989,0.333833842,4.91,43.52,-0.061127596,0,0
a023760,한국캐피탈,은행,kosdaq,1.416348135,0.409302326,-0.1366906474820144,0.0,-0.06846851501856496,0.156574394,0.333370271,15.12,659.52,-0.069767442,0,1
a100790,미래에셋벤처투자,은행,kosdaq,1.257278858,0.810390625,-0.0287907869481765,0.0039682539682539,0.029750182190793284,-0.206695779,0.332699663,20.62,249.74,-0.01171875,0,0
a366030,공구우먼,"화장품, 의류",kosdaq,2.75889925,2.687188264,-0.1900452488687782,0.0170454545454545,0.09869945205983052,0.241014799,0.332688981,26.22,6.58,-0.124694377,0,0
a372170,윤성에프앤씨,IT하드웨어,kosdaq,8.11943068,12.39859611,0.3986928104575163,0.0439024390243902,-0.0011121100853930103,1.770750988,0.330441974,29.1,101.5,0.155507559,1,0
a323280,태성,IT하드웨어,kosdaq,1.465986154,2.731280488,0.8740115972588297,0.1285714285714285,-0.007704682659267936,0.394077449,0.328526755,-1.71,72.36,0.445121951,1,0
a018310,삼목에스폼,건설,kosdaq,0.672970092,0.4638,0.0251989389920424,0.0117801047120418,-0.01495348033348653,0.608861363,0.327971028,14.25,40.66,0.030666667,1,1
a230240,에치에프알,IT하드웨어,kosdaq,0.756755348,1.56049256,-0.2374768089053803,0.0223880597014925,-0.01319810110376064,0.774709302,0.327158035,50.63,74.85,0.054386865,1,0
a160980,싸이맥스,반도체,kosdaq,0.827577199,1.002411454,0.1824,0.0,0.01832610113184156,-0.194799835,0.326957249,5.11,46.69,0.113790505,1,0
a042040,케이피엠테크,화학,kosdaq,1.72580483,0.673318681,-0.3235294117647059,0.0324189526184538,-0.019699458647584038,0.150417827,0.326352403,-11.89,32.18,-0.09010989,0,0
a347700,라이프시맨틱스,건강관리,kosdaq,18.17287545,5.311735808,0.0607675906183368,-0.0148514851485148,-0.010058722824189011,-0.391304348,0.326352403,-29.6,173.04,0.086244541,1,0
a246690,TS인베스트먼트,은행,kosdaq,2.277484071,0.836095618,-0.0909642207398423,0.0218132242672119,-0.029508520611803528,0.21875,0.326352403,12.32,34.19,-0.004648074,0,1
